Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 2, 20.0, -25.0
Query 2, 0, 0.0, 0
Query 3, 0, 0.0, 0
Query 4, 0, 0.0, 0
Query 5, 0, 0.0, 0
Query 6, 0, 0.0, 0
Query 7, 1, 10.0, 0
Query 8, 0, 0.0, 0
Query 9, 2, 20.0, -36.0
Query 10, 1, 10.0, 0
Query 11, 1, 10.0, 1
Query 12, 0, 0.0, 0
Query 13, 0, 0.0, 0
Query 14, 0, 0.0, 0
Query 15, 3, 30.0, -12.25
Query 16, 0, 0.0, 0
Query 17, 0, 0.0, 0
Query 18, 2, 20.0, -49.0
Query 19, 1, 10.0, 1
Query 20, 0, 0.0, 0
Query 21, 2, 20.0, 1.0
Query 22, 2, 20.0, -33.0
Query 23, 0, 0.0, 0
Query 24, 0, 0.0, 0
Query 25, 3, 30.0, -25.25
Query 26, 2, 20.0, -24.0
Query 27, 1, 10.0, 0
Query 28, 0, 0.0, 0
Query 29, 0, 0.0, 0
Query 30, 0, 0.0, 0
Query 31, 2, 20.0, -1.0
Query 32, 2, 20.0, -9.0
Query 33, 0, 0.0, 0
Query 34, 0, 0.0, 0
Query 35, 0, 0.0, 0
Query 36, 1, 10.0, 1
Query 37, 0, 0.0, 0
Query 38, 0, 0.0, 0
Query 39, 0, 0.0, 0
Query 40, 0, 0.0, 0
Query 41, 0, 0.0, 0
Query 42, 0, 0.0, 0
Query 43, 0, 0.0, 0
Query 44, 2, 20.0, -60.0
Query 45, 0, 0.0, 0
Query 46, 2, 20.0, -48.0
Query 47, 1, 10.0, 0
Query 48, 1, 10.0, 0
Query 49, 2, 20.0, -3.0
Query 50, 0, 0.0, 0
Query 51, 1, 10.0, 0
Query 52, 2, 20.0, -15.0
Query 53, 0, 0.0, 0
Query 54, 1, 10.0, 0
Query 55, 1, 10.0, 0
Query 56, 0, 0.0, 0
Query 57, 4, 40.0, -9.7
Query 58, 0, 0.0, 0
Query 59, 0, 0.0, 0
Query 60, 1, 10.0, 0
Query 61, 0, 0.0, 0
Query 62, 0, 0.0, 0
Query 63, 1, 10.0, 0
Query 64, 1, 10.0, 0
Query 65, 0, 0.0, 0
Query 66, 1, 10.0, 0
Query 67, 1, 10.0, 0
Query 68, 1, 10.0, 0
Query 69, 0, 0.0, 0
Query 70, 0, 0.0, 0
Query 71, 3, 30.0, -9.25
Query 72, 0, 0.0, 0
Query 73, 0, 0.0, 0
Query 74, 0, 0.0, 0
Query 75, 0, 0.0, 0
Query 76, 3, 30.0, -23.5
Query 77, 0, 0.0, 0
Query 78, 0, 0.0, 0
Query 79, 0, 0.0, 0
Query 80, 4, 40.0, -8.7
Query 81, 0, 0.0, 0
Query 82, 0, 0.0, 0
Query 83, 0, 0.0, 0
Query 84, 0, 0.0, 0
Query 85, 0, 0.0, 0
Query 86, 2, 20.0, -96.0
Query 87, 0, 0.0, 0
Query 88, 3, 30.0, -13.25
Query 89, 0, 0.0, 0
Query 90, 0, 0.0, 0
Query 91, 1, 10.0, 0
Query 92, 0, 0.0, 0
Query 93, 0, 0.0, 0
Query 94, 0, 0.0, 0
Query 95, 0, 0.0, 0
Query 96, 0, 0.0, 0
Query 97, 0, 0.0, 0
Query 98, 1, 10.0, 1
Query 99, 0, 0.0, 0
Query 100, 2, 20.0, -12.0
Averages, 0.7, 7.0, -5.08
