Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 3, 30.0, -6.5
Query 2, 1, 10.0, 0
Query 3, 0, 0.0, 0
Query 4, 1, 10.0, 0
Query 5, 0, 0.0, 0
Query 6, 0, 0.0, 0
Query 7, 1, 10.0, 0
Query 8, 0, 0.0, 0
Query 9, 0, 0.0, 0
Query 10, 1, 10.0, 0
Query 11, 0, 0.0, 0
Query 12, 0, 0.0, 0
Query 13, 0, 0.0, 0
Query 14, 0, 0.0, 0
Query 15, 2, 20.0, -52.0
Query 16, 0, 0.0, 0
Query 17, 0, 0.0, 0
Query 18, 1, 10.0, 0
Query 19, 1, 10.0, 0
Query 20, 0, 0.0, 0
Query 21, 2, 20.0, 0.0
Query 22, 2, 20.0, -25.0
Query 23, 0, 0.0, 0
Query 24, 0, 0.0, 0
Query 25, 1, 10.0, 0
Query 26, 2, 20.0, -31.0
Query 27, 1, 10.0, 0
Query 28, 0, 0.0, 0
Query 29, 0, 0.0, 0
Query 30, 0, 0.0, 0
Query 31, 2, 20.0, -3.0
Query 32, 2, 20.0, -1.0
Query 33, 0, 0.0, 0
Query 34, 0, 0.0, 0
Query 35, 0, 0.0, 0
Query 36, 1, 10.0, 0
Query 37, 0, 0.0, 0
Query 38, 0, 0.0, 0
Query 39, 0, 0.0, 0
Query 40, 0, 0.0, 0
Query 41, 0, 0.0, 0
Query 42, 1, 10.0, 0
Query 43, 0, 0.0, 0
Query 44, 1, 10.0, 0
Query 45, 0, 0.0, 0
Query 46, 3, 30.0, -17.25
Query 47, 1, 10.0, 0
Query 48, 1, 10.0, 0
Query 49, 2, 20.0, 1.0
Query 50, 0, 0.0, 0
Query 51, 3, 30.0, -14.5
Query 52, 1, 10.0, 0
Query 53, 0, 0.0, 0
Query 54, 0, 0.0, 0
Query 55, 1, 10.0, 0
Query 56, 0, 0.0, 0
Query 57, 3, 30.0, -20.0
Query 58, 0, 0.0, 0
Query 59, 1, 10.0, 0
Query 60, 1, 10.0, 0
Query 61, 0, 0.0, 0
Query 62, 0, 0.0, 0
Query 63, 2, 20.0, -64.0
Query 64, 0, 0.0, 0
Query 65, 2, 20.0, -64.0
Query 66, 1, 10.0, 0
Query 67, 0, 0.0, 0
Query 68, 1, 10.0, 0
Query 69, 0, 0.0, 0
Query 70, 0, 0.0, 0
Query 71, 4, 40.0, -11.3
Query 72, 0, 0.0, 0
Query 73, 0, 0.0, 0
Query 74, 0, 0.0, 0
Query 75, 0, 0.0, 0
Query 76, 2, 20.0, -40.0
Query 77, 0, 0.0, 0
Query 78, 0, 0.0, 0
Query 79, 0, 0.0, 0
Query 80, 3, 30.0, -20.5
Query 81, 0, 0.0, 0
Query 82, 0, 0.0, 0
Query 83, 0, 0.0, 0
Query 84, 0, 0.0, 0
Query 85, 0, 0.0, 0
Query 86, 1, 10.0, 0
Query 87, 0, 0.0, 0
Query 88, 3, 30.0, -24.0
Query 89, 0, 0.0, 0
Query 90, 0, 0.0, 0
Query 91, 1, 10.0, 0
Query 92, 0, 0.0, 0
Query 93, 0, 0.0, 0
Query 94, 1, 10.0, 0
Query 95, 0, 0.0, 0
Query 96, 0, 0.0, 0
Query 97, 0, 0.0, 0
Query 98, 0, 0.0, 0
Query 99, 0, 0.0, 0
Query 100, 1, 10.0, 0
Averages, 0.65, 6.5, -3.93
